Destination	Place	Rating	Description
Goa	Calangute Beach	4.4	Calangute is a largest beach in north Goa stretching from Candolim to Baga. Due to its sheer size and popularity, it is a hub for tourists and backpackers from all over the world. It is the perfect place to look for accommodation as it keeps you well-connected to the other beaches in the north. You can also sample the sumptuous culinary fare at an array of shacks here and embark on a number of water sports at the beach.
Goa	Basilica of Bom Jesus	4.3	This historic church is located in Goa and is a UNESCO World Heritage Site. Built in the year 1594 and consecrated in 1605, the building of this church coincides with the beginning of Christianity in India. The Basilica houses the tomb and remains of St. Francis Xavier. Even after 400 years, the remains are in a good condition and are taken out once every decade.
Goa	Water Sports in Goa	4.4	Goa is a haven for water sports like kneeboarding, kite surfing, snorkelling, parasailing, paragliding, diving, and kayaking. The water sports in Goa can be enjoyed at any one of the beaches in the north or the south. You can also engage in your favorite activities through a number of licensed water sports package operators.
Goa	Fort Aguada	4.4	Fort Aguada is a 17th-century Portuguese fort looking out at the confluence of Mandovi River and the Arabian Sea. The crumbling ramparts of the fort stand on the Sinquerim Beach, approximately 18 km from Panjim. The highlight of the fort is a lone four-storey lighthouse (which is one-of-its-kind in Asia) and a stunning view of the sunset.
Goa	Baga Beach	4.5	One of the most popular beaches in North Goa, Baga Beach is located close to Calangute beach, around 30 Km North of Panjim. Baga is the perfect destination to witness the dazzling nightlife of Goa as signature places such as Britto's, Tito's and Mambos are located in the vicinity. Being one of the most visited beaches in the North, Baga also offers a vast range of water sports.
Goa	Cruise in Goa	4.3	Cruise in Goa allows one to explore the exotic scenery, pristine waters and marvel the breathtaking view of the sunset. There are several types of cruises in Goa ranging from simple evening cruises, elaborate and romantic dinner cruises, backwater cruises, and casino cruises. All of these usually originate from Miramar Beach in Panjim.
Goa	Anjuna Beach	4.4	Located near Panjim at a distance of 21 km, Anjuna Beach is among the most popular beaches in North Goa, stretching almost 2km. A hippie paradise of sorts it is characterized by its rocky outcrops. From family outings to adrenaline-filled adventures, Anjuna Beach is famed for its golden coastline, nightclubs, beach shacks, watersports, full-moon parties and flea markets.
Goa	Dudhsagar Falls	4.3	One of India's tallest waterfalls, the Dudhsagar Falls is located inside the Mollem National Park. The majestic falls are a little farther inland approximately 60 km from Panaji on the Goa - Karnataka Border. Literally translating to Sea of Milk, the 310 m high waterfall is divided into four tiers on the Mandovi river and resemble a heavy rush of milk flowing effortlessly down the hill.
Goa	Scuba Diving in Goa	4.3	Goa is one of the few places in India offering scuba diving. Diving in Goa is not the best owing to limited underwater visibility, but it is still popular among tourists as it is a good destination for beginners to explore the delights of the underwater world. The absence of strong water current with occasional surges adds serenity to the activity.
Goa	Church of Our Lady of the Immaculate Conception	3.7	Located in Panjim, Our Lady of Immaculate Conception is one of the most popular and also one of the oldest chapels in Goa. Built in a Portuguese Baroque style, the church is located on a slight elevation, on a hillock. It is known to house the second largest church bells in Goa. These bells are known to have been removed from the Augustinian ruins of the Church of Our Lady of Grace that existed in Old Goa.
Goa	Dona Paula	4.4	Located around 7kms from Panjim, Dona Paula is one of the most popular tourist hangouts in Goa famous for its vast stretch of beach. The small beach is also popular as the Lover's Paradise and features a jetty (Dona Paula Jetty) adjacent to it, which provides an ethereal view of the Arabian Sea and Mormugao harbour. Another attraction here is the whitewashed statue, called 'Image of India', depicting Mother India and Young India.
Goa	Chapora Fort	3.7	Chapora Fort, located 10 km away from Mapusa, is undeniably one of the most famous forts in Goa. Built by the Portuguese in 1717, Chapora Fort has a long and fascinating history attached to it. More popularly known as the 'Dil Chahta Hai Fort', its claim to fame was the 2001 Bollywood blockbuster shot here. A scintillating escape, it offers beautiful views of the sea and Chapora River.
Goa	Butterfly Beach	3.9	A little to the south of Palolem in Cancona region of Goa lies the Butterfly Beach. This beach, also known as Honeymoon Beach, is in the form of a small cove surrounded by dense trees. One of the most secluded and lesser-known beach of Goa, the butterfly beach is mostly accessible by a boat (ferry) ride from the nearby beaches, which only adds to the charm.
Goa	Arambol Beach	4.4	Beautiful and serene, Arambol Beach is among the best beaches of North Goa and is relatively unexploited by tourist activities. Considered to be one of the most spectacular beaches in Goa, Arambol beach has a distinct Bohemian feel to it, which attracts tourists from all over the world.
Goa	Vagator Beach	4.3	Vagator beach is one of the most beautiful beaches in Goa. It is famous for its soft white sands and imposing but beautiful rocky cliffs. The beach is divided into two major parts, namely Little Vagator, also known as Ozran Beach, and Big Vagator. It is also popular for its sweeping panoramic views, beach shacks and trance parties.
Goa	Palolem Beach	4.4	Palolem Beach, located in the South Goa is one of the most beautiful beaches of the Union Territory has to offer. Mostly unspoiled, the beach is often flocked with foreign tourists.
Goa	Shopping in Goa	3.7	For carrying back an authentic Goan experience with you, you can buy some feni, cashew-nuts, Goan hats and handicrafts. There are lots of shops in Panjim, the capital where you can buy interesting stuff. Goa is also known for its hand-painted ceramics.
Goa	Spa and Massages	3.7	Goa is full of spa resorts and Ayurvedic massage centers. Beachside massages are also available at some beaches. Various spas of Goa which are preferred by the tourists from all around the world are Sereno Spa and Leela Kempinski Goa Spa Center.
Goa	Colva Beach	4.4	One of the most happening beaches in South Goa, Colva beach is mainly renowned for its shopping and phenomenal nightlife. The beach is full of shacks and eating joints.
Goa	Morjim Beach	4.3	"Morjim is sometimes referred to as ""Little Russia"" owing to the large population of Russian immigrants staying here. Morjim beach is home to exotic species of birds and some rare endangered animals such as sea turtles."
Goa	Thalassa	4.3	Thalassa- The Greek Taverna is one of the most popular restaurants in Goa. Having moved out to the backwaters along with Siolim (from its prior location of Vagator hilltop), it is famous for its signature cocktails and sunsets. Reverberating with the cultural flavour of Greece, it serves authentic Greek Mediterranean cuisine.
Goa	Casino	3.6	Located on a yacht in River Mandovi, the casino is one of the coolest places to be when you're in the party state. The entry fee is placed high at Rs. 1600, and the casino holds ample number of tables of American Roulette, Blackjack and Rummy. Go ahead and try your luck!
Goa	Brittos	3.6	Be it during the season or off-season, you cannot NOT come here if you're in Goa. It is amongst the best shacks in Baga Beach and is just perfect if you're seeking the company of the sea and the sand while you sip on that beer.
Goa	Anjuna Flea Market	3.6	Anjuna Flea Market on Wednesday is a treasure trove of trinkets, handicrafts, hippie clothing, souvenirs and everything else from cheap bags to footwear and junk jewellery. Also popular as the queen of hippie flea markets, the Anjuna Flea Market as much a part of the Goa experience as the beaches.
Goa	Agonda Beach	4.4	If you're looking for a place away from the hustle bustle of the crowd with more space and solitude, Agonda beach is the right place for you. With the clear blue water and coconut trees, this beach is a delight for nature lovers.
Goa	Club LPK - Love Passion Karma	3.7	Club LPK is one of the most popular nightlife spots in Goa. Surrounded by water on three sides, it was shifted to Nerul from its original location. The nightclub has generally some good DJs playing a mix of house, trance, and Bollywood music.
Goa	Mambos	3.7	Located in the famous Titos lane, Mambos is a popular nightclub in Goa. The open-air lounge encircles a dancing area with a host of Indian and international DJs playing every night. They also serve a variety of Hookahs.
Goa	Candolim Beach	3.7	Candolim Beach lies around 15 kms ahead of Panjim, along the stretch of Fort Aguada. Forming a part of the trio of Calangute, Baga and Candolim party beaches in Goa, this beach is known for its pulsating nightlife and thrilling water sports.
Goa	Se Cathedral	3.3	Se Cathedral, or Sé Catedral de Santa Catarina, is one of the largest churches in Asia. Located in Old Goa, it is dedicated to Saint Catherine. It is a famous landmark in Goa exhibiting Portuguese-Manueline architectural style.
Goa	Cavelossim Beach	3.0	With magnificent black rocks that contrast with the white sand shores of this idyllic beach, the Cavelossim Beach is located in South Goa. Cleaner and quieter than the cliched party beaches of Goa, it is the perfect spot for travellers looking to enjoy the endless expanse of the clear blue waters.
Goa	Patnem Beach	3.9	Situated in Canacona, South Goa, Patnem Beach is one of the most secluded and tranquil beaches of Goa. It is the perfect place to laze by the beach and do absolutely nothing. The waters are quite safe to swim in, and the views of the sunset are magnificent and uninterrupted.
Goa	Betalbatim Beach	3.9	Located in South Goa between Colva Beach and Majorda Beach, Betalbatim Beach is one of the quieter beaches of Goa. Lined with a plethora of fast food chains, local restaurants and spas, the highlight of the beach is the easy spotting of the dolphins. You can ask the local fishermen who can hike you a ride in a sea to have a glimpse of the dolphins.
Goa	Church of St. Cajetan	3.4	The Church of Saint Cajetan, located in Old Goa close to the Se Cathedral, is one of the most beautiful churches in Goa. The only surviving domed structure in Goa, the church is admired for its wonderful and graceful architecture that reminds you of Basilica of St. Peter in Rome.
